Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid
"Giallo Siena 1t.",20751,GARDENSTONES,1,1.2,1.2,1269.05,901.03,1171.4,1254.9,1054.3,1137.8,991.2,1074.7,,0,,2021-12-23 00:00:00,,0,0,,1,,24179
"White Silver Flat 1t.",20752,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24181
"White Silver Flat 1t.",20753,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24181
"Green Angel 1t.",20754,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24182
"Black Angel 1t.",20755,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24183
"Serpentynit 1t.",20756,GARDENSTONES,1,1.2,1.2,257.18,182.6,237.4,320.9,213.7,297.2,200.9,284.4,,0,,2021-12-23 00:00:00,,0,0,,1,,24184
"Riviera 1t.",20757,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24185
"Onyx 1t.",20758,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24186
"Rainbow 1t.",20759,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24187
"Granit 1t.",20760,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24188
"Koraota 1t.",20761,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,0
"Kora Srebrna 1t.",20762,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24190
"Sjenit 1t.",20763,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24194
"Black Stone 1t.",20764,GARDENSTONES,1,1.2,1.2,324.86,230.65,299.9,383.4,269.9,353.4,253.8,337.3,,0,,2021-12-23 00:00:00,,0,0,,1,,24195
"Granit Szaro-Rudy 1t.",20765,GARDENSTONES,1,1.2,1.2,186.8,132.63,172.5,256,155.2,238.7,145.9,229.4,,0,,2021-12-23 00:00:00,,0,0,,1,,24196
"Onyx Honey 1t.",20766,GARDENSTONES,1,1.2,1.2,1203.25,854.31,1110.7,1194.2,999.6,1083.1,939.8,1023.3,,0,,2021-12-23 00:00:00,,0,0,,1,,24198
"Onyx Honey 1t.",20767,GARDENSTONES,1,1.2,1.2,1203.25,854.31,1110.7,1194.2,999.6,1083.1,939.8,1023.3,,0,,2021-12-23 00:00:00,,0,0,,1,,24198
"Kalcyt 1t.",20768,GARDENSTONES,1,1.2,1.2,411.99,292.51,380.3,463.8,342.3,425.8,321.8,405.3,,0,,2021-12-23 00:00:00,,0,0,,1,,24199
"Kora złota 1t.",20769,GARDENSTONES,1,1.2,1.2,426.97,303.15,394.1,477.6,354.7,438.2,333.5,417,,0,,2021-12-23 00:00:00,,0,0,,1,,0
"Bliss 100x50x2",20770,GARDENSTONES,21,1.2,0.057142857142857,238.62,169.42,220.3,224.3,198.3,202.3,186.4,190.4,,0,,2021-12-23 00:00:00,,0,0,,1,,24201
"Ash Stone 100x50x2",20771,GARDENSTONES,21,1.2,0.057142857142857,238.62,169.42,220.3,224.3,198.3,202.3,186.4,190.4,,0,,2021-12-23 00:00:00,,0,0,,1,,24202
"Wspornik stały do płyt tarasowych",20772,GARDENSTONES,1,0,0,4.55,4.55,6,89.5,5.4,88.9,5.1,88.6,,0,,2021-12-23 00:00:00,,0,0,,,,24203
"Wspornik regulowany do płyt tarasowych 2,7-3,5",20773,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,24204
"Wspornik regulowany do płyt tarasowych 3,5-5,0",20774,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,24205
"Wspornik regulowany do płyt tarasowych 5,0-8,0",20775,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,24206
"Podkładka gumowa",20776,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,,,24207
"Black Pillar płyta 100x50x6/10",20777,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24208
"Black Pillar płyta 200x50x6/10",20778,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24209
"Kaucja paleta GardenStones",20779,GARDENSTONES,1,0,0,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,,0,,2021-12-23 00:00:00,,0,0,,1,,24210
