Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
Petra - sahara,108,POLBRUK,6.97,1.23,0.17647058823529,90,4,47,97,59.5,63.3,53.8,57.6,50.9,54.7,,0,,2021-12-23 00:00:00,,0.87125,0,,1,1,6783
Prostokąt Polbruk 4cm - czerwony,109,POLBRUK,17.28,1.54,0.08912037037037,54,61,30,14,38,39.6,33.8,35.4,31.7,33.3,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6784
Prostokąt Polbruk 4cm - grafitowy,110,POLBRUK,17.28,1.54,0.08912037037037,54,61,30,14,38,39.6,33.8,35.4,31.7,33.3,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6785
Prostokąt Polbruk 4cm - oliwkowy,111,POLBRUK,17.28,1.54,0.08912037037037,54,61,30,14,38,39.6,33.8,35.4,31.7,33.3,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6786
Prostokąt Polbruk 4cm - szary,112,POLBRUK,17.28,1.54,0.08912037037037,50,18,27,68,34.9,36.5,31.1,32.7,29.1,30.7,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6787
Prostokąt 6cm,113,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,1,6792,,
Prostokąt 6cm - czerwony,114,POLBRUK,10.8,1.42,0.13148148148148,66,42,31,37,39.6,42.1,35.2,37.7,33,35.5,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6793
Prostokąt 6cm - grafitowy,115,POLBRUK,10.8,1.42,0.13148148148148,66,42,31,37,39.6,42.1,35.2,37.7,33,35.5,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6794
Prostokąt 6cm - oliwkowy,116,POLBRUK,10.8,1.42,0.13148148148148,66,42,31,37,39.6,42.1,35.2,37.7,33,35.5,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6795
Prostokąt 6cm - szary,117,POLBRUK,10.8,1.42,0.13148148148148,61,99,29,52,37.2,39.7,33.1,35.6,31,33.5,,0,,2021-12-23 00:00:00,,1.08,0,,1,1,6796
